序号,省级类,省级,地级类,地级,县级类,县级,地名,适宜性均值
287,省,海南省,地级市,儋州市,不统计,不统计,儋州市,0.3231
288,省,安徽省,地级市,马鞍山市,县,当涂县,当涂县,0.5913
289,自治区,西藏自治区,地级市,拉萨市,县,当雄县,当雄县,0.0586
290,省,湖北省,地级市,宜昌市,县级市,当阳市,当阳市,0.3529
291,省,安徽省,地级市,宿州市,县,砀山县,砀山县,0.3922
292,省,甘肃省,地级市,陇南市,县,宕昌县,宕昌县,0.2815
293,省,四川省,自治州,甘孜藏族自治州,县,道孚县,道孚县,0.116
294,省,黑龙江省,地级市,哈尔滨市,市辖区,道里区,道里区,0.6154
295,省,黑龙江省,地级市,哈尔滨市,市辖区,道外区,道外区,0.5242
296,省,湖南省,地级市,永州市,县,道县,道县,0.4235
297,省,贵州省,地级市,遵义市,自治县,道真仡佬族苗族自治县,道真仡佬族苗族自治县,0.443
298,省,四川省,自治州,甘孜藏族自治州,县,稻城县,稻城县,0.1016
299,省,四川省,自治州,甘孜藏族自治州,县,得荣县,得荣县,0.2437
300,省,江西省,地级市,九江市,县,德安县,德安县,0.3735
301,自治区,广西壮族自治区,地级市,百色市,县,德保县,德保县,0.2166
302,省,四川省,自治州,凉山彝族自治州,县,德昌县,德昌县,0.2385
303,省,山东省,地级市,德州市,市辖区,德城区,德城区,0.6299
304,省,四川省,自治州,甘孜藏族自治州,县,德格县,德格县,0.1008
305,省,福建省,地级市,泉州市,县,德化县,德化县,0.3238
306,省,吉林省,地级市,长春市,县级市,德惠市,德惠市,0.392
307,省,贵州省,地级市,铜仁市,县,德江县,德江县,0.4522
308,省,青海省,自治州,海西蒙古族藏族自治州,县级市,德令哈市,德令哈市,0.0312
309,省,云南省,自治州,迪庆藏族自治州,县,德钦县,德钦县,0.1929
310,省,浙江省,地级市,湖州市,县,德清县,德清县,0.7084
311,省,广东省,地级市,肇庆市,县,德庆县,德庆县,0.3024
312,省,江西省,地级市,上饶市,县级市,德兴市,德兴市,0.3467
313,省,辽宁省,地级市,辽阳市,县级市,灯塔市,灯塔市,0.6486
314,省,河南省,地级市,郑州市,县级市,登封市,登封市,0.4421
315,省,河南省,地级市,南阳市,县级市,邓州市,邓州市,0.3506
316,自治区,内蒙古自治区,地级市,巴彦淖尔市,县,磴口县,磴口县,0.1026
317,省,黑龙江省,地级市,鸡西市,市辖区,滴道区,滴道区,0.295
318,省,湖北省,地级市,宜昌市,市辖区,点军区,点军区,0.4488
319,省,广东省,地级市,茂名市,市辖区,电白区,电白区,0.4067
320,直辖市,重庆市,不统计,不统计,县,垫江县,垫江县,0.4843
321,省,辽宁省,地级市,铁岭市,县级市,调兵山市,调兵山市,0.5508
322,省,甘肃省,自治州,甘南藏族自治州,县,迭部县,迭部县,0.1689
323,自治区,广西壮族自治区,地级市,桂林市,市辖区,叠彩区,叠彩区,0.4541
324,自治区,西藏自治区,地级市,昌都市,县,丁青县,丁青县,0.0406
325,省,湖南省,地级市,常德市,市辖区,鼎城区,鼎城区,0.4069
326,省,广东省,地级市,肇庆市,市辖区,鼎湖区,鼎湖区,0.4593
327,省,海南省,不统计,不统计,县,定安县,定安县,0.3857
328,省,陕西省,地级市,榆林市,县,定边县,定边县,0.4567
329,省,浙江省,地级市,舟山市,市辖区,定海区,定海区,0.0053
330,自治区,西藏自治区,地级市,日喀则市,县,定结县,定结县,0.064
331,省,江西省,地级市,赣州市,县,定南县,定南县,0.3273
332,自治区,西藏自治区,地级市,日喀则市,县,定日县,定日县,0.0552
333,省,山东省,地级市,菏泽市,市辖区,定陶区,定陶区,0.4783
334,省,山西省,地级市,忻州市,县,定襄县,定襄县,0.4082
335,省,河北省,地级市,保定市,县,定兴县,定兴县,0.5369
336,省,安徽省,地级市,滁州市,县,定远县,定远县,0.3448
337,省,河北省,地级市,保定市,县级市,定州市,定州市,0.524
338,省,山东省,地级市,聊城市,县,东阿县,东阿县,0.4574
339,省,黑龙江省,地级市,牡丹江市,市辖区,东安区,东安区,0.274
340,省,湖南省,地级市,永州市,县,东安县,东安县,0.4096
341,省,湖北省,地级市,荆门市,市辖区,东宝区,东宝区,0.3542
342,省,山东省,地级市,聊城市,市辖区,东昌府区,东昌府区,0.5551
343,省,吉林省,地级市,通化市,市辖区,东昌区,东昌区,0.4449
344,直辖市,北京市,不统计,不统计,市辖区,东城区,东城区,0.6722
345,省,云南省,地级市,昆明市,市辖区,东川区,东川区,0.3239
346,省,海南省,不统计,不统计,县级市,东方市,东方市,0.4367
347,省,吉林省,地级市,辽源市,县,东丰县,东丰县,0.3754
348,省,山东省,地级市,日照市,市辖区,东港区,东港区,0.5106
349,省,辽宁省,地级市,丹东市,县级市,东港市,东港市,0.4472
350,省,广东省,地级市,东莞市,不统计,不统计,东莞市,0.3697
